,Time,Text,Sentiment
157,2019-01-14 23:59:56+00:00,"in addition multiverse monday earth . wonderman dane elysium a male version wonder woman earth , amazon prince dane elysium previously banished ""woman world"" he killed maxine lord national television controlling superwoman her","[62.1921588136042, 76.97584939503935, 1.3578254496107576]"
158,2019-01-14 23:59:56+00:00,i’m curious in amazon history led an electric unicycle suggestion i not surprised,"[33.22298901531094, 32.57116306446001, -13.09144708413362]"
159,2019-01-14 23:59:54+00:00,when coaches to let team know one man don’t make team. u ever to that? check it plays in warrior pride out on amazon right now. do review. thanks teammeeting coacheswhotalkreal coach teamchemistry basketballlife basketballislife,"[48.16038769062725, 68.07863052745533, 1.9267307597887253]"
160,2019-01-14 23:59:51+00:00,mgoldst happiness an amazon gift card.,"[23.109313253594014, 9.115634187530517, -2.003191228413158]"
161,2019-01-14 23:59:49+00:00,i like amazon explain something shipped days ago refunded today it out stock. apparently notification it shipped a lie? badcustomerservice,"[81.80442701911994, 64.83429653348195, -8.248572883908096]"
162,2019-01-14 23:59:46+00:00,"if want something peaceful charming local, give a go. although any ever tempted to, beware amazon video file actually black bars within aspect ratio. that say requires you to change tv ratio setting to watch it...","[86.7195118811366, 95.87459319950138, -6.092127088705453]"
163,2019-01-14 23:59:46+00:00,an introduction to amazon beam via youtube lazarbeamyt,"[16.720618671567156, -2.392908353110862, -10.965981522861036]"
164,2019-01-14 23:59:45+00:00,"stephostaxx oooliviad jayteii another hot tip keep lines open without running card wicked attach recurring low payments don fluctuate payment size. netflix, amazon prime, gym membership, etc keeps credit utilization low, easy balance to pay and keeps ya line consistent.","[129.94313381646833, 69.21067690198144, -8.254885383113944]"
165,2019-01-15 23:59:58+00:00,grams herbal tea chrysanthemum flower dried natural johnleemushroom ... 来自 amazon,"[32.1235423446334, 12.296626666782217, -11.824470546523209]"
167,2019-01-15 23:59:58+00:00,keeping things running smoothly some tips for amazon sellers via bitrebels | rma fb amazontips businesstips smoothrunning,"[17.4384117225263, 17.116084378574826, 0.6087243454551867]"
168,2019-01-15 23:59:56+00:00,amazon’s fire tv stick comes a remote can control tv via verge,"[26.348420316001462, 6.628350160919908, -10.596845720659928]"
169,2019-01-15 23:59:52+00:00,"alright amazon foolishness aside, show must go on. playing smash ultimate tonight, viewer battles later in. twitchtv smashbrosultimate","[29.795769428940066, 25.22453706767402, 1.3171605958718686]"
170,2019-01-15 23:59:49+00:00,"talespun i point i got kingdom hearts an amazon e promo it’s after tax shipping, the usual","[50.01032971199973, 11.286672771311089, -11.878499867190698]"
171,2019-01-15 23:59:47+00:00,pound grams vacuum packaged tofu multi flavored bean curd cut pieces... 来自 amazon,"[45.016123657705364, 25.156738392630857, 0.7489476929614796]"
172,2019-01-15 23:59:46+00:00,new year new books giveaway enter win amazon gift card paypal cash,"[52.27956829253626, 39.99621497940932, -10.51536214888651]"
