,Time,Text,Sentiment
117,2019-01-10 23:34:51+00:00,bitcoin hits k last year without any goldman sachs without any morgan stanley without any citing group without any etfs without any lightningnetwork without any bakkt without any regulations so relax... the next rally...,"[-9.476640607060187, 10.402262017446688, 1.7469171700981434]"
118,2019-01-10 23:29:55+00:00,goldman sachs backed circle says its all in on crypto,"[19.039833907468964, 18.8522925075627, -10.062594637184496]"
119,2019-01-10 23:26:09+00:00,crypto panic goldman sachs backed circle says its all in on crypto crypto cashflow via →,"[49.843166441713166, 30.233352905599013, -9.271700782404409]"
120,2019-01-10 23:26:05+00:00,goldman sachs backed circle says its all in on crypto prkitykat,"[19.039833907468964, 18.8522925075627, -10.062594637184496]"
121,2019-01-11 23:56:53+00:00,"kenolin p. over decades goldman sachs not done business the trump org trump himself, knowing he might stiff anyone everyone. he would not pay, sue.","[25.694441394795493, 40.96054691352175, -10.578214609276998]"
122,2019-01-11 23:51:32+00:00,joestradamus cgasparino he goldman sachs puppet muppet,"[10.620421382959822, 10.539983198031933, -11.048717845366646]"
123,2019-01-11 23:50:03+00:00,intercontinental hotels group ihg downgraded goldman sachs group neutral stocks,"[10.433459082079317, 29.099689789806018, -10.60683698234848]"
124,2019-01-11 23:50:02+00:00,intercontinental hotels group ihg downgraded goldman sachs group neutral,"[10.433459082079317, 29.099689789806018, -10.60683698234848]"
125,2019-01-11 23:39:03+00:00,politico politico lost credibility me allegiance queen goldman sachs . now posit half assed attacks aoc w/ warning she going be forgotten she t bow to corp. neolib. oligarchs dnc. get the way of our progress. now.,"[18.80923081750267, 29.822085309679338, -10.192576414146501]"
126,2019-01-11 23:24:53+00:00,goldman sachs says markets indicate chance a recession,"[20.07558014915957, 1.6352609630004191, 11.797189852397217]"
127,2019-01-11 23:23:57+00:00,day the goldman sachs k small business program.,"[9.471896007891285, 7.3635453601428935, 0.7734868578201599]"
129,2019-01-11 23:23:04+00:00,"goldman sachs discovered earnings season strategy can make return just days — here’s is, how can replicate it","[14.535139327740797, 16.064124087819437, -9.322656922465029]"
130,2019-01-11 23:23:02+00:00,"goldman sachs discovered earnings season strategy can make return just days — here’s is, how can replicate it","[14.535139327740797, 16.064124087819437, -9.322656922465029]"
131,2019-01-11 23:21:51+00:00,starbucks downgraded goldman sachs china concerns the company hasn’t expressed concerns yet,"[21.080383919525875, 40.17939373839639, -9.949665450666366]"
132,2019-01-12 23:56:36+00:00,"starbucks be next us brand warn china trouble apple, goldman sachs says starbucks coffee china food cafe business hr","[19.635589413619943, 78.88105579318521, -10.884443335446335]"
134,2019-01-12 23:56:31+00:00,"also check the article jake weiss, former director global talent research goldmansachs, for glg "" steps help ensure professional success""","[63.55388204502281, 60.038405836516475, -9.414290515424398]"
135,2019-01-12 23:54:49+00:00,"delve today&amp; ;s share market – the goldman sachs group, inc. gs gs stocks stockmarket","[21.61325891776848, 20.426434573194843, -10.42920831770067]"
136,2019-01-12 23:53:31+00:00,"the vampire squid not vampire, actually squid, not all good metaphor goldman sachs. qz obsession .","[19.83844343562087, 21.194246080211514, -11.947661486140213]"
137,2019-01-12 23:36:26+00:00,"scarylawyerguy comey chucktodd mitchellreports yes. and i want hillary clinton have enough smarts, not character, have understood accepting , bribes excuse speaking fees goldman sachs t great idea. but alas, truly a fallen world live in.","[80.21639194191253, 43.46780397616625, -2.0338955395069007]"
138,2019-01-12 23:30:24+00:00,goldmansachs maybe don’t want be?,"[7.719027073533096, 8.166958449377848, -10.686550062878041]"
139,2019-01-12 23:26:41+00:00,"goldman sachs, poster firm wall st. crony capitalism under fire","[40.88787754380758, 31.442876881055717, -9.883546068641202]"
140,2019-01-12 23:25:35+00:00,goldmansachs get back running swamp.,"[-3.439131722497595, -2.3145515366211247, -10.946873233973722]"
141,2019-01-12 23:24:39+00:00,"goldman sachs, poster firm wall st. crony capitalism under fire","[40.88787754380758, 31.442876881055717, -9.883546068641202]"
142,2019-01-12 23:21:25+00:00,andrewatter leaveeuofficial labourleave paulembery a facile statement ... i voted dennis skinner . you voted david cameron &amp; george osborne were bankrolled us investment banks like goldman sachs ... whose socialist ?,"[66.78268537979095, 96.04894748187716, -8.440937690474314]"
143,2019-01-13 23:49:01+00:00,funder here a mitch mcconnell biggest donors. what kind of ballot measures we introduce make corporate lives hellish? blackstone altrianews goldmansachs davitahlthsolns metlife comcast mitchshutdown,"[19.36644195230767, 11.246824547747494, -0.12079716265182583]"
145,2019-01-13 23:43:39+00:00,bunceebryan buncee hlundqvistfdn goldmansachs such honor witness important work hlundqvistfdn doing inspirational youngambassadors,"[1.391819817612938, -1.035794911495032, -0.9857080494076484]"
146,2019-01-13 23:29:16+00:00,winkinj and did former goldman sachs ceo jon corzine u.s. senate &amp; for governor. then lost to chris christie. running nationwide obviously much difficult undertaking running statewide nj.,"[33.98031514791749, 38.90056821361637, -10.214099415554557]"
147,2019-01-13 23:23:50+00:00,"ing drops to the top tax dodgers chart bigger, not bad goldman sachs &amp; jp morgan pay zilch","[27.103919471236768, 21.40528673706733, -12.128418651051845]"
148,2019-01-13 23:23:43+00:00,"goldman sachs its dog whistle perspectives, his own.","[7.911113853239276, 0.023627599945185818, -11.43911658713926]"
149,2019-01-13 23:19:05+00:00,"for two decades, greg palm waged one battle another goldman sachs group inc. he to step aside its top lawyer. mdb lestweforget","[18.938374467233192, 55.46020425608249, -9.435034671415266]"
150,2019-01-13 23:16:40+00:00,everything need know keep knowing goldman sachs,"[-3.006293481349114, -1.9409331478069949, -11.423839455685602]"
151,2019-01-13 23:09:52+00:00,"kyler murray negotiating a position power. nobody would question leverage attempt, mlb &amp; nfl replaced goldman sachs &amp; mckinsey. please stop giving business decisions sports different morality standards those decisions other industries","[85.73297320956559, 29.518442810829157, -9.77693003776092]"
152,2019-01-13 23:07:26+00:00,"in asia now starbucks be next us brand warn china trouble apple, goldman sachs says","[8.146890220817955, 39.15768528473355, -11.352408480685327]"
153,2019-01-13 23:05:16+00:00,goldman sachs ceo david solomon shares number one piece advice millennials want get ahead in...,"[21.38824573641374, 39.49737911995308, -11.545164365330365]"
154,2019-01-14 23:57:35+00:00,goldman sachs leads immersive labs cyber security investment business mattersbusiness matters,"[56.31533621427277, 66.31015162473544, -9.866572068543164]"
156,2019-01-14 23:50:01+00:00,goldman sachs leads immersive labs cyber security investment business mattersbusiness matters securityguard,"[56.31533621427277, 66.31015162473544, -9.866572068543164]"
157,2019-01-14 23:48:22+00:00,goldman sachs leads funding gchq veteran’s cybersecurity startup cybersecurity dataprivacy ransomwareprotection hacker ransomware malware phishing tech,"[56.15608799008836, 15.827267234618155, 24.812705924130107]"
158,2019-01-14 23:45:31+00:00,goldman outlines ‘where invest now’ u.s. equities markets investments investing stocks goldmansachs,"[22.595915090572515, 12.44022331025406, 0.791652854210426]"
159,2019-01-14 23:44:44+00:00,goldman sachs downgrade hits shares schnitzer steel indus nasdaq schn,"[23.01423861446062, 12.876090771148814, -0.1998000051623805]"
160,2019-01-14 23:44:14+00:00,shares schnitzer steel indus nasdaq schn struck with downgrade from goldman sachs. should investors concerned?,"[19.623595816618664, 8.799217789793524, -10.701151918719894]"
161,2019-01-14 23:41:50+00:00,"jpetkfull sarafischer adlandia goldmansachs axios on it, thank","[-2.668367892387816, 3.8401037863174063, -12.37821528796107]"
162,2019-01-14 23:37:53+00:00,goldmansachs away zymergen tailopez this still poignant.,"[-3.903674321148215, -0.37203237396531863, -11.318307010336614]"
163,2019-01-14 23:36:59+00:00,hillaryclinton says you. puppet wall street goldman sachs,"[19.982881447715076, 28.989718929582303, -10.508576906715696]"
164,2019-01-14 23:34:57+00:00,goldman sachs investors should get defensive market realist,"[9.449718618860132, 9.674506443390673, -10.722174507343933]"
165,2019-01-15 23:56:21+00:00,"after leaving cia graduating the wharton school the university pennsylvania ,[] mcmullin began working the investment banking division goldman sachs","[51.39974080538332, 55.3525733192963, -8.372764734977906]"
